x,y,z,qw,qx,qy,qz
0.37150888,-0.32842008,0.24588646,0.50577111,-0.49880811,0.49539415,0.49997069
0.37150756,-0.32841688,0.24588809,0.50577366,-0.4988043,0.49539155,0.49997449
0.37150625,-0.32841358,0.24588973,0.50577621,-0.49880048,0.49538895,0.4999783
0.37150494,-0.32841019,0.24589137,0.50577877,-0.49879665,0.49538634,0.49998212
0.37150363,-0.32840671,0.24589301,0.50578134,-0.49879281,0.49538372,0.49998594
0.37150231,-0.32840312,0.24589466,0.50578391,-0.49878896,0.49538109,0.49998978
0.371501,-0.32839944,0.24589631,0.50578648,-0.4987851,0.49537847,0.49999363
0.37149969,-0.32839566,0.24589796,0.50578906,-0.49878123,0.49537583,0.49999749
0.37149837,-0.32839179,0.24589962,0.50579165,-0.49877735,0.49537319,0.50000136
0.37149706,-0.32838781,0.24590128,0.50579424,-0.49877346,0.49537055,0.50000524
0.37149575,-0.32838374,0.24590294,0.50579683,-0.49876956,0.4953679,0.50000914
0.37149444,-0.32837956,0.24590461,0.50579943,-0.49876565,0.49536524,0.50001304
0.37149312,-0.32837529,0.24590628,0.50580204,-0.49876173,0.49536258,0.50001695
0.37149181,-0.32837091,0.24590795,0.50580465,-0.4987578,0.49535991,0.50002087
0.3714905,-0.32836643,0.24590963,0.50580726,-0.49875386,0.49535724,0.5000248
0.3714892,-0.32836185,0.24591131,0.50580988,-0.49874991,0.49535456,0.50002875
0.37148789,-0.32835716,0.245913,0.50581251,-0.49874596,0.49535187,0.5000327
0.37148658,-0.32835238,0.24591469,0.50581514,-0.49874199,0.49534918,0.50003666
0.37148527,-0.32834748,0.24591638,0.50581777,-0.49873801,0.49534649,0.50004064
0.37148397,-0.32834249,0.24591808,0.50582041,-0.49873402,0.49534379,0.50004462
0.37148267,-0.32833738,0.24591978,0.50582305,-0.49873002,0.49534108,0.50004861
0.37148137,-0.32833217,0.24592148,0.5058257,-0.49872602,0.49533837,0.50005261
0.37148007,-0.32832686,0.24592319,0.50582835,-0.498722,0.49533566,0.50005663
0.37147877,-0.32832144,0.24592489,0.50583101,-0.49871797,0.49533294,0.50006065
